Rangasthalam | 9.4 | 2018 | Action, Drama | ./drama/6.jpg | India
Shrek the Third | 6.1 | 2007 | Animation, Adventure, Comedy | ./fantasy/1443.jpg | USA
Benji | 6.1 | 1974 | Adventure, Family, Romance | ./family/1217.jpg | USA
On the Road | 6.1 | 2012 | Adventure, Drama, Romance | ./adventure/2194.jpg | France, USA, UK, Brazil, Canada, Argentina
Inkheart | 6.1 | 2008 | Adventure, Family, Fantasy | ./fantasy/1453.jpg | Germany, UK, USA
The Mexican | 6.1 | 2001 | Adventure, Comedy, Crime | ./crime/3666.jpg | USA
Piglet's Big Movie | 6.1 | 2003 | Animation, Adventure, Comedy | ./mystery/1862.jpg | USA
Legend of the Lost | 6.1 | 1957 | Adventure, Drama | ./adventure/2231.jpg | Italy, USA
Justin and the Knights of Valour | 6.1 | 2013 | Animation, Adventure, Family | ./family/1238.jpg | Spain
Santa Claus: The Movie | 6.1 | 1985 | Adventure, Family, Fantasy | ./fantasy/1470.jpg | UK, USA
The Last Remake of Beau Geste | 6.1 | 1977 | Adventure, Comedy, War | ./war/1355.jpg | USA
Malice in Wonderland | 6.1 | 2009 | Adventure, Drama, Fantasy | ./thriller/4394.jpg | UK, Spain, USA, Bahrain
The Water Babies | 6.1 | 1978 | Animation, Adventure, Family | ./musical/859.jpg | Poland, UK
Napoleon and Samantha | 6.1 | 1972 | Adventure, Drama | ./adventure/2247.jpg | USA
Camille | 6.6 | 1936 | Drama, Romance | ./romance/4240.jpg | USA
The Long Ships | 6.1 | 1964 | Adventure, Drama, History | ./history/1136.jpg | UK, Yugoslavia
Blackbeard, the Pirate | 6.1 | 1952 | Adventure | ./adventure/2256.jpg | USA
Squanto: A Warrior's Tale | 6.1 | 1994 | Adventure, Biography, Drama | ./family/1250.jpg | USA
Bird of Paradise | 6.1 | 1932 | Adventure, Drama, Romance | ./adventure/2265.jpg | USA
The King and Four Queens | 6.1 | 1956 | Adventure, Comedy, Mystery | ./western/644.jpg | USA
Androcles and the Lion | 6.1 | 1952 | Adventure, Comedy | ./adventure/2269.jpg | USA, UK
The Mummy's Hand | 6.1 | 1940 | Adventure, Fantasy, Horror | ./horror/1346.jpg | USA
Invisible Agent | 6.1 | 1942 | Adventure, Comedy, Romance | ./war/1370.jpg | USA
At Sword's Point | 6.1 | 1952 | Adventure, History | ./history/1150.jpg | USA
De schippers van de Kameleon | 6.1 | 2003 | Adventure, Family | ./family/1275.jpg | Netherlands
Four Men and a Prayer | 6.1 | 1938 | Adventure, Mystery | ./mystery/1907.jpg | USA
The Deadly Companions | 6.1 | 1961 | Adventure, Western | ./western/657.jpg | USA
Bulldog Drummond Escapes | 6.1 | 1937 | Adventure, Mystery, Thriller | ./thriller/4496.jpg | USA
Mike and Dave Need Wedding Dates | 6.0 | 2016 | Adventure, Comedy, Romance | ./adventure/2300.jpg | USA
Into the Woods | 6.0 | 2014 | Adventure, Comedy, Drama | ./musical/881.jpg | USA
Cannibal Holocaust | 6.0 | 1980 | Adventure, Horror | ./adventure/2310.jpg | Italy
The SpongeBob Movie: Sponge Out of Water | 6.0 | 2015 | Animation, Adventure, Comedy | ./fantasy/1519.jpg | USA, South Korea
The Wizard | 6.0 | 1989 | Adventure, Comedy, Drama | ./sport/497.jpg | USA
Valhalla Rising | 6.0 | 2009 | Adventure, Drama, Fantasy | ./fantasy/1521.jpg | Denmark, UK
The Pagemaster | 6.0 | 1994 | Animation, Adventure, Comedy | ./fantasy/1522.jpg | USA
Nim's Island | 6.0 | 2008 | Adventure, Comedy, Family | ./fantasy/1528.jpg | USA
Planes: Fire & Rescue | 6.0 | 2014 | Animation, Adventure, Comedy | ./family/1300.jpg | USA
Grind | 6.0 | 2003 | Adventure, Comedy, Sport | ./sport/501.jpg | USA
Rock-A-Doodle | 6.0 | 1991 | Animation, Adventure, Comedy | ./music/723.jpg | Ireland, UK, USA
Dear Eleanor | 6.0 | 2016 | Adventure, Comedy, Drama | ./history/1159.jpg | USA
Band of Robbers | 6.0 | 2015 | Adventure, Comedy, Crime | ./thriller/4594.jpg | USA
Genghis Khan | 6.0 | 1965 | Adventure, Drama, History | ./war/1385.jpg | UK, West Germany, Yugoslavia, USA
For the Love of Benji | 6.0 | 1977 | Adventure, Comedy, Drama | ./family/1310.jpg | USA
Gold Diggers: The Secret of Bear Mountain | 6.0 | 1995 | Adventure, Drama, Family | ./mystery/1948.jpg | Canada, USA
What's Up, Tiger Lily? | 6.0 | 1966 | Adventure, Comedy, Crime | ./thriller/4632.jpg | USA, Japan
The Northlander | 6.0 | 2016 | Adventure, Fantasy, Sci-Fi | ./sci-fi/1189.jpg | Canada
The Darwin Awards | 6.0 | 2006 | Adventure, Comedy, Romance | ./adventure/2359.jpg | USA
Master of the World | 6.0 | 1961 | Sci-Fi, Adventure | ./sci-fi/1195.jpg | USA
White Cargo | 6.0 | 1942 | Adventure, Drama | ./adventure/2374.jpg | USA
Maya the Bee Movie | 6.0 | 2014 | Animation, Adventure, Comedy | ./family/1332.jpg | Australia, Germany
The Garden of Allah | 6.0 | 1936 | Adventure, Drama, Romance | ./adventure/2379.jpg | USA
Green Fire | 6.0 | 1954 | Adventure, Drama | ./adventure/2380.jpg | USA
Here | 6.0 | 2011 | Adventure, Drama, Romance | ./adventure/2388.jpg | USA
Valley of the Kings | 6.0 | 1954 | Adventure | ./adventure/2391.jpg | USA
From A to B | 6.0 | 2014 | Adventure, Comedy, Drama | ./adventure/2394.jpg | United Arab Emirates, Jordan, Lebanon
Jumbo | 6.0 | 2008 | Animation, Adventure, Family | ./musical/902.jpg | India
Smurfs: The Lost Village | 5.9 | 2017 | Animation, Adventure, Comedy | ./fantasy/1569.jpg | USA, Hong Kong
Night at the Museum: Battle of the Smithsonian | 5.9 | 2009 | Adventure, Comedy, Family | ./fantasy/1572.jpg | USA, Canada
Joe Dirt | 5.9 | (2009) | Adventure, Comedy, Drama | ./adventure/2423.jpg | USA, Canada
Free Willy | 5.9 | 1993 | Adventure, Drama, Family | ./family/1353.jpg | USA, France
The Incredible Burt Wonderstone | 5.9 | 2013 | Adventure, Comedy, Fantasy | ./fantasy/1575.jpg | USA
Maze | 5.9 | 2017 | Adventure, Crime, Drama | ./thriller/4787.jpg | UK, Ireland, Sweden, Germany
Happy Feet Two | 5.9 | 2011 | Animation, Adventure, Comedy | ./musical/904.jpg | Australia
Rock Dog | 5.9 | 2016 | Animation, Adventure, Comedy | ./music/751.jpg | China, USA
Without a Paddle | 5.9 | 2004 | Adventure, Comedy, Mystery | ./mystery/2010.jpg | USA, New Zealand
First Knight | 5.9 | 1995 | Action, Adventure, Romance | ./adventure/2438.jpg | USA, UK
Sanctum | 5.9 | 2011 | Adventure, Drama, Thriller | ./thriller/4825.jpg | USA, Australia
Escape from Planet Earth | 5.9 | 2013 | Animation, Adventure, Comedy | ./sci-fi/1251.jpg | USA, Canada
Free Birds | 5.9 | 2013 | Animation, Adventure, Comedy | ./family/1368.jpg | USA
Homeward Bound II: Lost in San Francisco | 5.9 | 1996 | Adventure, Comedy, Family | ./family/1370.jpg | USA
The Rugrats Movie | 5.9 | 1998 | Animation, Adventure, Comedy | ./musical/907.jpg | USA
The Island of Dr. Moreau | 5.9 | 1996 | Adventure, Fantasy, Horror | ./thriller/4852.jpg | USA
Trapped in Paradise | 5.9 | 1994 | Adventure, Comedy, Crime | ./crime/4079.jpg | USA
Hey Arnold! The Movie | 5.9 | 2002 | Animation, Adventure, Comedy | ./family/1380.jpg | USA
Welp | 5.9 | (2016) | Adventure, Horror | ./adventure/2474.jpg | USA
Monster Man | 5.9 | 2003 | Adventure, Comedy, Horror | ./thriller/4960.jpg | USA
The Rains of Ranchipur | 5.9 | 1955 | Adventure, Drama, Romance | ./adventure/2494.jpg | USA
The Terror of the Tongs | 5.9 | 1961 | Action, Adventure | ./adventure/2503.jpg | UK
Kameleon 2 | 5.9 | 2005 | Adventure, Comedy, Family | ./family/1401.jpg | Netherlands
Fireman | 5.9 | 2015 | Adventure, Thriller | ./adventure/2514.jpg | India
Pan | 5.8 | 2015 | Adventure, Family, Fantasy | ./fantasy/1655.jpg | USA, UK, Australia
Leviathan | 5.8 | 2014 | Adventure, Horror, Mystery | ./sci-fi/1316.jpg | Russia
The Descent: Part 2 | 5.8 | 2009 | Adventure, Horror, Thriller | ./horror/1686.jpg | UK
Chicken Little | 5.8 | 2005 | Animation, Adventure, Comedy | ./sci-fi/1323.jpg | USA
Walking Out | 5.8 | 2017 | Adventure, Drama, Mystery | ./mystery/2116.jpg | USA
Pilgrimage | 5.8 | 2017 | Adventure, Drama | ./adventure/2540.jpg | Ireland, Belgium, USA
The Nut Job | 5.8 | 2014 | Animation, Adventure, Comedy | ./family/1414.jpg | Canada, South Korea, USA
Monte Carlo | 7.0 | 2011 | Comedy, Musical, Romance | ./romance/2795.jpg | Hungary, USA
The Borrowers | 5.8 | 1997 | Adventure, Comedy, Family | ./fantasy/1670.jpg | UK, USA
Strange Magic | 5.8 | (1991) | Animation, Adventure, Comedy | ./adventure/2548.jpg | USA
The Little Vampire | 5.8 | 2000 | Adventure, Comedy, Family | ./fantasy/1675.jpg | Germany, Netherlands, USA
The Ant Bully | 5.8 | 2006 | Animation, Adventure, Comedy | ./fantasy/1676.jpg | USA
Biggles | 5.8 | 1960 | Adventure, Family, Sci-Fi | ./war/1441.jpg | N/A
Amelia | 5.8 | 2009 | Adventure, Biography, Drama | ./biography/1260.jpg | USA, Canada
Babe: Pig in the City | 5.8 | 1998 | Adventure, Comedy, Drama | ./fantasy/1680.jpg | Australia
Earth to Echo | 5.8 | 2014 | Adventure, Family, Sci-Fi | ./sci-fi/1339.jpg | USA
Almost Heroes | 5.8 | 1998 | Adventure, Comedy, Western | ./western/714.jpg | USA
Falcon Rising | 5.8 | 2014 | Action, Adventure | ./adventure/2559.jpg | USA, Japan
Marooned | 5.8 | 1969 | Adventure, Drama, Sci-Fi | ./sci-fi/1342.jpg | USA
The Adventures of Elmo in Grouchland | 5.8 | 1999 | Adventure, Comedy, Family | ./musical/921.jpg | USA, Germany
She | 5.8 | 1965 | Adventure, Fantasy | ./fantasy/1689.jpg | UK
Welcome to Woop Woop | 5.8 | 1997 | Adventure, Comedy, Fantasy | ./music/785.jpg | Australia, UK
The Amazing Panda Adventure | 5.8 | 1995 | Family, Adventure, Drama | ./family/1441.jpg | USA
Finding Fanny | 5.8 | 2014 | Adventure, Comedy, Drama | ./adventure/2582.jpg | India
Fathom | 5.8 | 1967 | Adventure, Comedy | ./adventure/2583.jpg | UK
The Last Dinosaur | 5.8 | 1977 | Adventure, Sci-Fi | ./sci-fi/1358.jpg | Japan, USA
Courage Mountain | 5.8 | 1990 | Adventure, Drama, Family | ./war/1451.jpg | USA, France
The Son of Kong | 5.8 | 1933 | Adventure, Comedy | ./adventure/2592.jpg | USA
Beneath the 12-Mile Reef | 5.8 | 1953 | Adventure | ./adventure/2594.jpg | USA
Five Weeks in a Balloon | 5.8 | 1962 | Adventure, Comedy, Drama | ./sci-fi/1372.jpg | USA
Running Free | 5.8 | 1999 | Adventure, Drama, Family | ./war/1466.jpg | USA, France, South Africa
Africano | 5.8 | 2001 | Adventure, Comedy | ./adventure/2616.jpg | Egypt
The Blue Lagoon | 5.7 | 1980 | Adventure, Drama, Romance | ./adventure/2620.jpg | USA
Ice Age: Collision Course | 5.7 | 2016 | Animation, Adventure, Comedy | ./sci-fi/1399.jpg | USA
Jaws 2 | 5.7 | 1978 | Adventure, Drama, Horror | ./horror/1823.jpg | USA
101 Dalmatians | 5.7 | 1961 | Adventure, Comedy, Crime | ./family/1474.jpg | USA
Planes | 5.7 | 2013 | Animation, Adventure, Comedy | ./family/1478.jpg | USA
Open Water | 5.7 | 2003 | Adventure, Drama, Horror | ./horror/1844.jpg | USA
One Million Years B.C. | 5.7 | 1966 | Adventure, Fantasy | ./fantasy/1739.jpg | UK
Knights of Badassdom | 5.7 | 2013 | Adventure, Comedy, Fantasy | ./fantasy/1747.jpg | USA
Andre | 5.7 | 1994 | Adventure, Drama, Family | ./family/1481.jpg | USA
The Land That Time Forgot | 5.7 | 1974 | Adventure, Fantasy | ./fantasy/1748.jpg | UK, USA
The Hole | 6.2 | 2001 | Drama, Mystery, Thriller | ./thriller/3933.jpg | UK
Alaska | 5.7 | 1996 | Adventure, Family | ./family/1483.jpg | USA
Angry Video Game Nerd: The Movie | 5.7 | 2014 | Adventure, Comedy, Sci-Fi | ./sci-fi/1433.jpg | USA
Dr. Who and the Daleks | 5.7 | 1965 | Adventure, Family, Sci-Fi | ./sci-fi/1437.jpg | UK
Delhi Safari | 5.7 | 2012 | Animation, Adventure, Drama | ./animation/891.jpg | India
Arabian Adventure | 5.7 | 1979 | Fantasy, Adventure | ./fantasy/1769.jpg | UK
King Richard and the Crusaders | 5.7 | 1954 | Adventure, History, Romance | ./war/1483.jpg | USA
Shaapit: The Cursed | 5.7 | 2010 | Adventure, Horror, Romance | ./horror/1958.jpg | India
Die Vampirschwestern | 5.7 | (2010) | Adventure, Comedy, Drama | ./adventure/2694.jpg | Germany
The Adventures of Marco Polo | 5.7 | 1938 | Adventure, Biography, Romance | ./biography/1295.jpg | USA
Nihon chinbotsu | 5.7 | 2006 | Adventure, Drama, Sci-Fi | ./sci-fi/1469.jpg | Japan
Mission to Mars | 5.6 | 2000 | Adventure, Sci-Fi, Thriller | ./sci-fi/1479.jpg | USA
Dumb and Dumber To | 5.6 | 2014 | Adventure, Comedy | ./adventure/2716.jpg | USA
Mirror Mirror | 5.6 | 2012 | Horror, Thriller | ./horror/2062.jpg | USA, Canada
Troop Beverly Hills | 5.6 | 1989 | Adventure, Comedy | ./adventure/2720.jpg | USA
The Pink Panther | 7.2 | 2006 | Comedy, Crime, Romance | ./romance/1786.jpg | USA, Czech Republic
SpaceCamp | 5.6 | 1986 | Adventure, Family, Sci-Fi | ./sci-fi/1497.jpg | USA
The Pink Panther 2 | 5.6 | 2009 | Adventure, Comedy, Crime | ./mystery/2286.jpg | USA
Hoot | 5.6 | 2006 | Adventure, Comedy, Family | ./family/1527.jpg | USA
Tom and Huck | 5.6 | 1995 | Adventure, Comedy, Drama | ./western/751.jpg | USA
Orca | 5.6 | 1977 | Adventure, Drama, Horror | ./horror/2030.jpg | USA, Netherlands, Italy, UK
Search Party | 5.6 | 2014 | Adventure, Comedy | ./adventure/2739.jpg | USA
Five Children and It | 5.6 | 2004 | Adventure, Family, Fantasy | ./fantasy/1809.jpg | France, UK, USA
The Pebble and the Penguin | 5.6 | 1995 | Animation, Adventure, Comedy | ./musical/950.jpg | Ireland, USA
Rugrats Go Wild | 5.6 | 2003 | Animation, Adventure, Comedy | ./musical/951.jpg | USA
The Care Bears Movie | 5.6 | 1985 | Animation, Adventure, Comedy | ./musical/952.jpg | Canada, USA
Green Mansions | 5.6 | 1959 | Adventure, Drama, Romance | ./adventure/2748.jpg | USA
Green Ice | 5.6 | 1981 | Adventure, Romance | ./adventure/2754.jpg | UK
Rough Cut | 5.6 | 2008 | Adventure, Comedy, Crime | ./mystery/2312.jpg | South Korea
The Three Investigators and the Secret of Skeleton Island | 5.6 | 2007 | Adventure, Family, Mystery | ./mystery/2317.jpg | Germany, South Africa
Treehouse Hostage | 5.6 | 1999 | Adventure, Comedy, Family | ./family/1557.jpg | USA
Le dernier vol | 5.6 | (1999) | Adventure, Drama, Romance | ./adventure/2780.jpg | France
A Bad Moms Christmas | 5.5 | 2017 | Adventure, Comedy | ./adventure/2792.jpg | USA, China
Hop | 5.5 | 2011 | Animation, Adventure, Comedy | ./fantasy/1848.jpg | USA
The Twilight Saga: Breaking Dawn - Part 2 | 5.5 | 2012 | Adventure, Drama, Fantasy | ./fantasy/1850.jpg | USA
Fallen | 7.0 | 1998 | Action, Crime, Drama | ./thriller/1730.jpg | USA
Cheaper by the Dozen 2 | 5.5 | 2005 | Adventure, Comedy, Family | ./family/1565.jpg | USA, Canada
Your Highness | 5.5 | 2011 | Adventure, Comedy, Fantasy | ./fantasy/1856.jpg | USA
RV | 5.5 | 2006 | Adventure, Comedy, Family | ./family/1569.jpg | UK, Germany, USA
Corvette Summer | 5.5 | 1978 | Adventure, Comedy | ./adventure/2816.jpg | USA
Legends of Oz: Dorothy's Return | 5.5 | 2013 | Animation, Adventure, Family | ./musical/964.jpg | USA, India
Bushwhacked | 5.5 | 1995 | Adventure, Comedy, Crime | ./mystery/2358.jpg | USA
Vibes | 5.5 | (I) (2014) | Adventure, Comedy, Romance | ./adventure/2822.jpg | India
All Dogs Go to Heaven 2 | 5.5 | 1996 | Animation, Adventure, Family | ./fantasy/1869.jpg | USA
Hawk the Slayer | 5.5 | 1980 | Adventure, Fantasy | ./fantasy/1873.jpg | UK
Beneath | 5.4 | 2013 | Horror, Mystery, Thriller | ./mystery/2445.jpg | USA
Clifford's Really Big Movie | 5.5 | 2004 | Animation, Adventure, Comedy | ./family/1593.jpg | USA
The Aviator | 7.5 | 2004 | Biography, Drama, History | ./history/290.jpg | Germany, USA
Looney Tunes: Rabbits Run | 5.5 | 2015 | Animation, Adventure, Comedy | ./musical/970.jpg | USA
Krakatoa: East of Java | 5.5 | 1968 | Adventure, Drama, History | ./history/1251.jpg | USA
Gone Missing | 5.5 | 2013 | Adventure, Crime, Drama | ./crime/4678.jpg | USA
Tennessee | 5.5 | 2008 | Adventure, Comedy, Drama | ./adventure/2849.jpg | USA
Dark Cove | 5.5 | 2016 | Adventure, Thriller | ./adventure/2851.jpg | Canada
Joyride | 5.1 | 1997 | Comedy, Crime, Drama | ./mystery/2613.jpg | USA
Don Verdean | 5.4 | 2015 | Adventure, Comedy, Drama | ./adventure/2863.jpg | USA
Land of the Lost | 5.4 | 2009 | Adventure, Comedy, Sci-Fi | ./sci-fi/1605.jpg | USA
The Smurfs 2 | 5.4 | 2013 | Animation, Adventure, Comedy | ./fantasy/1910.jpg | USA, France, Canada
St Trinian's 2: The Legend of Fritton's Gold | 5.4 | 2009 | Adventure, Comedy | ./adventure/2874.jpg | UK
The Lizzie McGuire Movie | 5.4 | 2003 | Adventure, Comedy, Family | ./music/849.jpg | USA
Big Fat Liar | 5.4 | 2002 | Adventure, Comedy, Family | ./family/1613.jpg | USA, Germany
Mars Needs Moms | 5.4 | 2011 | Animation, Adventure, Family | ./sci-fi/1615.jpg | USA
Home on the Range | 5.4 | 2004 | Animation, Adventure, Comedy | ./western/772.jpg | USA
The Clan of the Cave Bear | 5.4 | 1986 | Adventure, Drama, Fantasy | ./fantasy/1917.jpg | USA
Fun Size | 5.4 | 2012 | Adventure, Comedy | ./adventure/2886.jpg | USA
Heavy Metal 2000 | 5.4 | 2000 | Animation, Action, Adventure | ./sci-fi/1621.jpg | Canada, Germany
Loch Ness | 5.4 | 1996 | Adventure, Drama, Fantasy | ./mystery/2419.jpg | UK, USA
BMX Bandits | 5.4 | 1983 | Adventure, Crime, Drama | ./crime/4742.jpg | Australia
The Jungle Book 2 | 5.4 | 2003 | Animation, Adventure, Family | ./musical/976.jpg | USA, Australia
Candy | 5.4 | (2003) | Adventure, Comedy, Fantasy | ./adventure/2898.jpg | USA, Australia
The People That Time Forgot | 5.4 | 1977 | Adventure, Fantasy, Sci-Fi | ./sci-fi/1625.jpg | UK, USA
A Troll in Central Park | 5.4 | 1994 | Animation, Adventure, Comedy | ./musical/978.jpg | Ireland, USA
Molly Moon and the Incredible Book of Hypnotism | 5.4 | 2015 | Adventure, Family, Fantasy | ./fantasy/1937.jpg | UK
Deadheads | 5.4 | 2011 | Adventure, Comedy, Horror | ./adventure/2907.jpg | USA
The Mysteries of Pittsburgh | 5.4 | 2008 | Adventure, Comedy, Drama | ./adventure/2911.jpg | USA, Bahrain
Race the Sun | 5.4 | 1996 | Adventure, Comedy, Drama | ./adventure/2913.jpg | USA
White Fang 2: Myth of the White Wolf | 5.4 | 1994 | Adventure, Family | ./family/1637.jpg | USA
Raavan | 5.4 | 2010 | Action, Adventure, Crime | ./crime/4791.jpg | India
Jupiter Ascending | 5.3 | 2015 | Action, Adventure, Sci-Fi | ./sci-fi/1666.jpg | USA, Australia
The Green Inferno | 5.3 | 2013 | Adventure, Horror, Thriller | ./horror/2417.jpg | USA, Chile, Canada, Spain
The Wiz | 5.3 | 1978 | Adventure, Family, Fantasy | ./musical/989.jpg | USA
The Wild | 5.3 | 2006 | Animation, Adventure, Comedy | ./family/1660.jpg | Canada, USA
Robinson Crusoe | 5.3 | 1997 | Animation, Adventure, Comedy | ./family/1661.jpg | USA
Albion: The Enchanted Stallion | 5.3 | 2016 | Adventure, Comedy, Family | ./fantasy/1965.jpg | USA, Bulgaria
Viy | 5.3 | 1967 | Adventure, Fantasy, Mystery | ./mystery/2484.jpg | Soviet Union
Alpha and Omega | 5.3 | 2010 | Animation, Adventure, Comedy | ./family/1663.jpg | USA, India, Canada
Strange Wilderness | 5.3 | 2008 | Adventure, Comedy | ./adventure/2951.jpg | USA
Dunston Checks In | 5.3 | 1996 | Comedy, Adventure, Family | ./family/1665.jpg | USA
Cocoon: The Return | 5.3 | 1988 | Adventure, Comedy, Mystery | ./sci-fi/1684.jpg | USA
Fled | 5.3 | 1996 | Action, Adventure, Crime | ./crime/4835.jpg | USA
Monkey Trouble | 5.3 | 1994 | Adventure, Comedy, Family | ./family/1671.jpg | Japan, USA
Grizzly | 5.3 | 1976 | Adventure, Horror, Thriller | ./adventure/2963.jpg | USA
Spaced Invaders | 5.3 | 1990 | Adventure, Comedy, Sci-Fi | ./sci-fi/1691.jpg | USA
The Wild Thornberrys Movie | 5.3 | 2002 | Animation, Adventure, Comedy | ./fantasy/1978.jpg | USA
Wrecked | 5.3 | 2010 | Adventure, Drama, Mystery | ./mystery/2494.jpg | USA, Canada
Equinox | 5.3 | 1970 | Horror, Adventure, Mystery | ./mystery/2504.jpg | USA
Sphinx | 5.3 | 1981 | Adventure, Mystery, Thriller | ./mystery/2507.jpg | USA, Netherlands
King of the Zombies | 5.3 | 1941 | Adventure, Comedy, Horror | ./horror/2525.jpg | USA
Snow White and the Three Stooges | 5.3 | 1961 | Adventure, Comedy, Family | ./musical/996.jpg | USA
Popeye | 5.2 | 1980 | Adventure, Comedy, Family | ./musical/998.jpg | USA
Beyond the Gates | 5.2 | 2005 | Adventure, Horror | ./horror/2586.jpg | UK, Germany
Cannibal ferox | 5.2 | (2016) | Adventure, Horror | ./adventure/3010.jpg | Italy
Walking with Dinosaurs 3D | 5.2 | 2013 | Animation, Adventure, Family | ./family/1703.jpg | USA, UK, Australia
Racing Stripes | 5.2 | 2005 | Adventure, Comedy, Drama | ./sport/656.jpg | USA
At the Earth's Core | 5.2 | 1976 | Adventure, Fantasy | ./fantasy/2021.jpg | UK, USA
The Soldier | 5.2 | 1982 | Action, Adventure, Thriller | ./adventure/3027.jpg | USA
The Wizard of Oz | 8.0 | 1939 | Adventure, Family, Fantasy | ./musical/67.jpg | USA
The Angry Red Planet | 5.2 | 1959 | Adventure, Sci-Fi | ./sci-fi/1776.jpg | USA
Easy Come, Easy Go | 5.2 | 1967 | Adventure, Comedy, Music | ./music/877.jpg | USA
Underwater! | 5.2 | 1955 | Adventure, Drama | ./adventure/3047.jpg | USA
Digby, the Biggest Dog in the World | 5.2 | 1973 | Adventure, Comedy, Family | ./sci-fi/1784.jpg | UK
The Invisible Boy | 5.2 | 2014 | Adventure, Comedy, Family | ./sci-fi/1788.jpg | Italy, France
The Man from Utah | 5.2 | 1934 | Adventure, Crime, Romance | ./western/799.jpg | USA
Alvin and the Chipmunks: The Road Chip | 5.1 | 2015 | Animation, Adventure, Comedy | ./music/884.jpg | USA
The Dukes of Hazzard | 5.1 | 2005 | Action, Adventure, Comedy | ./adventure/3070.jpg | USA
Return to the Blue Lagoon | 5.1 | 1991 | Adventure, Drama, Romance | ./adventure/3071.jpg | USA
Saturn 3 | 5.1 | 1980 | Adventure, Horror, Sci-Fi | ./sci-fi/1807.jpg | UK
Cabin Boy | 5.1 | 1994 | Adventure, Comedy, Romance | ./adventure/3089.jpg | USA
The Pirate Movie | 5.1 | 1982 | Adventure, Comedy, Musical | ./musical/1013.jpg | Australia
King David | 5.1 | 1985 | Adventure, Biography, Drama | ./war/1547.jpg | UK, USA
True Heart | 5.1 | 1997 | Adventure, Drama, Family | ./family/1759.jpg | USA
Alien Hunter | 5.1 | 2003 | Action, Adventure, Sci-Fi | ./sci-fi/1828.jpg | USA, Bulgaria
From the Earth to the Moon | 5.1 | 1998 | Adventure, Fantasy, Sci-Fi | ./sci-fi/1829.jpg | USA
The Legend of Sarila | 5.1 | 2013 | Animation, Adventure, Family | ./family/1766.jpg | Canada
Agent Vinod | 5.1 | 2012 | Action, Adventure | ./adventure/3111.jpg | India
Sadko | 5.1 | 1953 | Adventure, Fantasy | ./fantasy/2088.jpg | Soviet Union
The Twilight Saga: Eclipse | 5.0 | 2010 | Adventure, Drama, Fantasy | ./fantasy/2092.jpg | USA
Scooby-Doo 2: Monsters Unleashed | 5.0 | 2004 | Adventure, Comedy, Family | ./mystery/2631.jpg | USA, Canada
Silent Hill: Revelation | 5.0 | 2012 | Adventure, Drama, Horror | ./mystery/2633.jpg | Canada, France, USA
Three Billboards Outside Ebbing, Missouri | 8.2 | 2017 | Crime, Drama | ./drama/387.jpg | UK, USA
Army of One | 5.0 | 2016 | Adventure, Biography, Comedy | ./biography/1356.jpg | USA
Snow Day | 5.0 | 2000 | Adventure, Comedy, Family | ./family/1778.jpg | USA
Baby: Secret of the Lost Legend | 5.0 | 1985 | Family, Adventure, Sci-Fi | ./sci-fi/1860.jpg | USA
The Twilight Saga: Breaking Dawn - Part 1 | 4.9 | 2011 | Adventure, Drama, Fantasy | ./fantasy/2127.jpg | USA
The Barbarians | 4.9 | 1987 | Fantasy, Adventure | ./fantasy/2128.jpg | USA, Italy
Year One | 4.9 | 2009 | Adventure, Comedy | ./adventure/3162.jpg | USA
Gulliver's Travels | 4.9 | 2010 | Adventure, Comedy, Family | ./fantasy/2130.jpg | USA
Free Willy 2: The Adventure Home | 4.9 | 1995 | Adventure, Drama, Family | ./family/1798.jpg | France, USA
Meet Dave | 4.9 | 2008 | Adventure, Comedy, Family | ./sci-fi/1895.jpg | USA
Herbie Goes Bananas | 4.9 | 1980 | Adventure, Comedy, Family | ./fantasy/2139.jpg | USA
The Celestine Prophecy | 4.9 | 2006 | Adventure, Drama | ./adventure/3177.jpg | USA
Land of Smiles | 4.9 | 2017 | Adventure, Horror, Thriller | ./horror/3018.jpg | USA, Austria, Thailand
Under the Mountain | 4.9 | 2009 | Adventure, Drama, Fantasy | ./fantasy/2141.jpg | New Zealand
Passage to Mars | 4.9 | 2016 | Adventure | ./adventure/3187.jpg | USA
Bad Night | 4.9 | 2015 | Adventure, Comedy, Crime | ./adventure/3188.jpg | USA
Time Raiders | 4.9 | 2016 | Adventure | ./adventure/3190.jpg | China
Sherlock Gnomes | 4.8 | 2018 | Animation, Adventure, Comedy | ./mystery/2712.jpg | UK, USA
Honey I Blew Up the Kid | 4.8 | 1992 | Adventure, Comedy, Family | ./sci-fi/1938.jpg | USA
Herbie Fully Loaded | 4.8 | 2005 | Adventure, Comedy, Family | ./sport/693.jpg | USA
Black Knight | 4.8 | 2001 | Adventure, Comedy, Fantasy | ./fantasy/2160.jpg | USA
Sheena | 4.8 | 1984 | Adventure, Fantasy | ./fantasy/2162.jpg | UK, USA
A Kid in King Arthur's Court | 4.8 | 1995 | Adventure, Comedy, Family | ./fantasy/2164.jpg | USA, Hungary, UK
Crocodile Dundee in Los Angeles | 4.8 | 2001 | Adventure, Comedy, Crime | ./adventure/3206.jpg | Australia, USA
Jack and the Beanstalk | 6.1 | 1952 | Comedy, Family, Fantasy | ./musical/862.jpg | USA
